"Количество лиц, получивших ранения в результате совершения ДТП";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"2010";"";"";"";"";"";"";"";"";"";"";"";"2011";"";"";"";"";"";"";"";"";"";"";"2012";"";"";"";"";"";"";"";"";"";"";"";"2013";"";"";"";""
"";"январь";"январь-февраль";"январь-март";"январь-апрель";"январь-май";"январь-июнь";"январь-июль";"январь-август";"январь-сентябрь";"январь-октябрь";"январь-ноябрь";"январь-декабрь";"январь";"январь-февраль";"январь-март";"январь-апрель";"январь-июнь";"январь-июль";"январь-август";"январь-сентябрь";"январь-октябрь";"январь-ноябрь";"январь-декабрь";"январь";"январь-февраль";"январь-март";"январь-апрель";"январь-май";"январь-июнь";"январь-июль";"январь-август";"январь-сентябрь";"январь-октябрь";"январь-ноябрь";"январь-декабрь";"январь-февраль";"январь-март";"январь-апрель";"январь-май";"январь-июнь"
"Ярославская область";"184.0";"285.0";"437.0";"603.0";"869.0";"1137.0";"1402.0";"1691.0";"1947.0";"2168.0";"2406.0";"2632.0";"154.0";"263.0";"400.0";"530.0";"998.0";"1283.0";"1582.0";"1826.0";"2107.0";"2359.0";"2588.0";"150.0";"304.0";"439.0";"630.0";"846.0";"1122.0";"1412.0";"1687.0";"1968.0";"2248.0";"2469.0";"2659.0";"275.0";"400.0";"518.0";"703.0";"1013.0"
"Северо-Западный фед.округ";"1883.0";"3529.0";"5282.0";"7055.0";"9503.0";"11878.0";"15107.0";"18169.0";"20801.0";"23661.0";"26052.0";"28646.0";"1881.0";"3407.0";"5002.0";"6643.0";"11887.0";"15052.0";"18294.0";"21183.0";"24062.0";"26680.0";"29471.0";"2056.0";"3970.0";"5757.0";"7641.0";"10135.0";"12930.0";"16132.0";"19317.0";"22323.0";"25140.0";"27666.0";"30278.0";"3767.0";"5496.0";"7159.0";"9516.0";"12531.0"
"Республика Карелия";"68.0";"122.0";"166.0";"217.0";"279.0";"359.0";"471.0";"594.0";"676.0";"772.0";"868.0";"961.0";"73.0";"129.0";"186.0";"228.0";"364.0";"502.0";"624.0";"727.0";"824.0";"949.0";"1080.0";"81.0";"139.0";"211.0";"287.0";"370.0";"476.0";"595.0";"711.0";"804.0";"910.0";"1008.0";"1117.0";"127.0";"186.0";"228.0";"304.0";"393.0"
"Республика Коми";"157.0";"293.0";"409.0";"492.0";"626.0";"756.0";"1005.0";"1207.0";"1393.0";"1618.0";"1781.0";"1979.0";"128.0";"256.0";"420.0";"518.0";"869.0";"1117.0";"1365.0";"1631.0";"1881.0";"2134.0";"2333.0";"186.0";"329.0";"470.0";"575.0";"769.0";"965.0";"1201.0";"1482.0";"1709.0";"1926.0";"2148.0";"2312.0";"358.0";"504.0";"586.0";"747.0";"920.0"
"Архангельская обл. (с АО )";"215.0";"371.0";"593.0";"771.0";"1060.0";"1284.0";"1600.0";"1948.0";"2192.0";"2503.0";"2710.0";"2929.0";"223.0";"415.0";"545.0";"712.0";"1274.0";"1597.0";"1998.0";"2186.0";"2458.0";"2732.0";"2965.0";"211.0";"412.0";"570.0";"734.0";"963.0";"1204.0";"1478.0";"1844.0";"2108.0";"2355.0";"2568.0";"2801.0";"363.0";"497.0";"625.0";"849.0";"1157.0"
"Архангельская обл. (без а/о)";"209.0";"362.0";"580.0";"757.0";"1045.0";"1265.0";"1576.0";"1920.0";"2161.0";"2465.0";"2670.0";"2884.0";"219.0";"406.0";"533.0";"699.0";"1257.0";"1578.0";"1977.0";"2159.0";"2429.0";"2702.0";"2919.0";"207.0";"402.0";"553.0";"713.0";"942.0";"1169.0";"1438.0";"1801.0";"2063.0";"2310.0";"2522.0";"2754.0";"353.0";"480.0";"608.0";"824.0";"1132.0"
"Ненецкий АО";"6.0";"9.0";"13.0";"14.0";"15.0";"19.0";"24.0";"28.0";"31.0";"38.0";"40.0";"45.0";"4.0";"9.0";"12.0";"13.0";"17.0";"19.0";"21.0";"27.0";"29.0";"30.0";"46.0";"4.0";"10.0";"17.0";"21.0";"21.0";"35.0";"40.0";"43.0";"45.0";"45.0";"46.0";"47.0";"10.0";"17.0";"17.0";"25.0";"25.0"
"Вологодская область";"153.0";"270.0";"414.0";"549.0";"778.0";"1041.0";"1341.0";"1627.0";"1868.0";"2154.0";"2355.0";"2621.0";"165.0";"304.0";"461.0";"618.0";"1142.0";"1415.0";"1727.0";"1948.0";"2229.0";"2439.0";"2617.0";"150.0";"281.0";"432.0";"558.0";"774.0";"1055.0";"1354.0";"1588.0";"1820.0";"2032.0";"2229.0";"2482.0";"315.0";"488.0";"582.0";"746.0";"1018.0"
"Калининградская область";"104.0";"191.0";"282.0";"389.0";"528.0";"642.0";"793.0";"951.0";"1107.0";"1220.0";"1347.0";"1485.0";"59.0";"143.0";"225.0";"332.0";"622.0";"775.0";"925.0";"1083.0";"1232.0";"1384.0";"1544.0";"58.0";"129.0";"206.0";"325.0";"440.0";"588.0";"733.0";"890.0";"1051.0";"1195.0";"1351.0";"1497.0";"133.0";"205.0";"313.0";"445.0";"605.0"
"ГУВД г.Санкт-Петерб. и Лен.обл";"872.0";"1733.0";"2568.0";"3470.0";"4576.0";"5729.0";"7134.0";"8494.0";"9755.0";"11025.0";"12171.0";"13312.0";"896.0";"1594.0";"2331.0";"3090.0";"5477.0";"6877.0";"8242.0";"9620.0";"10852.0";"11938.0";"13341.0";"943.0";"1955.0";"2842.0";"3790.0";"4979.0";"6339.0";"7856.0";"9311.0";"10811.0";"12207.0";"13426.0";"14741.0";"1873.0";"2791.0";"3708.0";"4913.0";"6397.0"
